Price,Close,High,Low,Open,Volume,SMA20,SMA50,EMA20,RSI,EMA12,EMA26,MACD,Signal
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,
Date,,,,,,,,,,,,,
2020-01-01,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997,,,7200.17431640625,,7200.17431640625,7200.17431640625,0.0,0.0
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465,,,7179.726306733632,,7167.142916165865,7184.270308883101,-17.127392717236035,-3.4254785434472073
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032,,,7195.455637267929,,7194.487740962462,7196.1676398801865,-1.679898917724131,-3.0763626183025923
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275,,,7215.950980221578,,7227.744509780738,7212.055721243229,15.688788537509026,0.6766676128597311
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095,,,7234.557304277856,,7255.986490247162,7226.815844322434,29.170645924727978,6.375463275233381
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598,,,7285.477488468656,,7334.945374560099,7266.993873504569,67.95150105552966,18.69067083129264
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327,,,7369.117002215688,,7462.444914291238,7333.415985305157,129.02892898608116,40.75832246225034
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265,,,7436.807077525504,,7557.4322802416245,7388.708341428386,168.72393881323842,66.35144573244796
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466,,,7478.927478624265,,7606.915204675605,7425.031522734617,181.88368194098803,89.45789297415598
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844,,,7544.415737728501,,7693.013511528397,7479.959128400109,213.05438312828846,114.17719100498249
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085,,,7591.379724388286,,7746.017217086529,7521.261237233897,224.75597985263175,136.29294877451235
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381,,,7648.628716410831,,7814.7059745539855,7570.982193040645,243.72378151334033,157.77911532227796
